p,q,R,JI
0,0,1,0.9268856447688565
0,0,2,0.9276315789473685
0,0,3,0.9255706653715395
0,0,4,0.9272616879174256
0,0,5,0.9253550188129628
0,0,6,0.9276595744680851
0,0,7,0.9242718446601942
0,0,8,0.9233939393939394
0,0,9,0.9302155644866642
0,0,10,0.9264079795645299
0,0,11,0.9241487943778021
0,0,12,0.9261280931586608
0,0,13,0.9239248940036342
0,0,14,0.9252517898313312
0,0,15,0.9264311814859927
0,0,16,0.9263953204971972
0,0,17,0.9269717624148004
0,0,18,0.9267492711370262
0,0,19,0.9254022428083861
0,0,20,0.9261467331792189
0,0,21,0.925184915726931
0,0,22,0.926458054304152
0,0,23,0.9285278692523479
0,0,24,0.9271176112126752
0,0,25,0.9270464804196658
0,0,26,0.9271909566062964
0,0,27,0.9272151898734177
0,0,28,0.9219033781329459
0,0,29,0.9262006079027356
0,0,30,0.928903005130711
0,0,31,0.928345498783455
0,0,32,0.9258131319283713
0,0,33,0.9243524570321956
0,0,34,0.926363193768257
0,0,35,0.9252188715953308
0,0,36,0.9250699428293395
0,0,37,0.9265009096422074
0,0,38,0.9255525868350741
0,0,39,0.9242516058659557
0,0,40,0.9287624604911257
0,0,41,0.9266244828425407
0,0,42,0.9241304084353412
0,0,43,0.9281888997078871
0,0,44,0.9236085849399782
0,0,45,0.9224336444067386
0,0,46,0.9224796797282543
0,0,47,0.9269005847953217
0,0,48,0.9260293939025871
0,0,49,0.9274428779776374
0,0,50,0.9257950530035336
0,1,1,0.8947058823529411
0,1,2,0.8935370152761457
0,1,3,0.8926857811585722
0,1,4,0.8895525884282033
0,1,5,0.8908368396446937
0,1,6,0.89302870533099
0,1,7,0.8943728018757328
0,1,8,0.8901124648547329
0,1,9,0.8934195064629847
0,1,10,0.8917018284106891
0,1,11,0.8951081843838193
0,1,12,0.8947430180708754
0,1,13,0.8893696643667407
0,1,14,0.8940638198029094
0,1,15,0.9016412799622151
0,1,16,0.888914846396449
0,1,17,0.8884997081144191
0,1,18,0.8960262571796975
0,1,19,0.8915072328511433
0,1,20,0.8901754385964912
0,1,21,0.8921293042867182
0,1,22,0.8956153755730575
0,1,23,0.8920441210983338
0,1,24,0.8917242186585509
0,1,25,0.8852020025614158
0,1,26,0.885577930392271
0,1,27,0.8970674832175244
0,1,28,0.8862653419053186
0,1,29,0.883623693379791
0,1,30,0.8881110722202776
0,1,31,0.8894724556489262
0,1,32,0.8904895760131178
0,1,33,0.8979014383400141
0,1,34,0.8930957683741648
0,1,35,0.8969931876908621
0,1,36,0.8908153701968134
0,1,37,0.8979328165374677
0,1,38,0.897025978605854
0,1,39,0.8914365933551708
0,1,40,0.8918697282099344
0,1,41,0.8847717504936694
0,1,42,0.8890579286132241
0,1,43,0.8896817969115582
0,1,44,0.8936494893766874
0,1,45,0.8884485371255391
0,1,46,0.8869005847953216
0,1,47,0.892832044975404
0,1,48,0.8971918693455528
0,1,49,0.8915563883358707
0,1,50,0.8894988903165518
0,2,1,0.8760492123720823
0,2,2,0.8758470196393706
0,2,3,0.8773963953621857
0,2,4,0.8797329957417425
0,2,5,0.8746691218782369
0,2,6,0.8754747381747037
0,2,7,0.8658077756242162
0,2,8,0.8795708847617949
0,2,9,0.8771264367816092
0,2,10,0.8787983824378972
0,2,11,0.8711593375214164
0,2,12,0.8709677419354839
0,2,13,0.8737396883593034
0,2,14,0.8769549218031278
0,2,15,0.8797183423756204
0,2,16,0.8795986622073578
0,2,17,0.8694307639445653
0,2,18,0.8760055159733394
0,2,19,0.8742542450665443
0,2,20,0.8717127829865081
0,2,21,0.8778238819732596
0,2,22,0.878105141536684
0,2,23,0.8789107763615296
0,2,24,0.8786620530565167
0,2,25,0.8776122849555479
0,2,26,0.8730213351686167
0,2,27,0.8734628203654752
0,2,28,0.8724331765515659
0,2,29,0.8779981549815498
0,2,30,0.8793621446729836
0,2,31,0.8747275438797751
0,2,32,0.8745829018524911
0,2,33,0.8746706381028755
0,2,34,0.8792805257696299
0,2,35,0.8734351671069255
0,2,36,0.8689647300536468
0,2,37,0.8735078053259872
0,2,38,0.876423886779427
0,2,39,0.8767581277380678
0,2,40,0.877837962429411
0,2,41,0.8762649494020239
0,2,42,0.8803004043905257
0,2,43,0.8777649769585254
0,2,44,0.8714334822963218
0,2,45,0.8756178871134613
0,2,46,0.8726165862623478
0,2,47,0.8721183621974997
0,2,48,0.8760939659143252
0,2,49,0.8785294456609427
0,2,50,0.8760654227136605
0,3,1,0.8743257201882245
0,3,2,0.8662420382165605
0,3,3,0.8745142857142857
0,3,4,0.8745696580215745
0,3,5,0.8637805983680871
0,3,6,0.87217013491882
0,3,7,0.8664313368253246
0,3,8,0.8732265446224257
0,3,9,0.8736962750716333
0,3,10,0.8720319634703196
0,3,11,0.8675111263266004
0,3,12,0.8679977181973759
0,3,13,0.8737797174687033
0,3,14,0.8706110351117191
0,3,15,0.8716363219970228
0,3,16,0.867827868852459
0,3,17,0.867008547008547
0,3,18,0.8708791208791209
0,3,19,0.8743839541547278
0,3,20,0.8711523057558073
0,3,21,0.8727854611955652
0,3,22,0.8736962750716333
0,3,23,0.8687157221206582
0,3,24,0.8720357429258793
0,3,25,0.8727022058823529
0,3,26,0.8699931334401465
0,3,27,0.8740970072239422
0,3,28,0.8704148097360301
0,3,29,0.8682949098379366
0,3,30,0.8689906584643426
0,3,31,0.8797088051767968
0,3,32,0.8730085959885386
0,3,33,0.8720064168671937
0,3,34,0.8709124171049623
0,3,35,0.8657718120805369
0,3,36,0.8693409742120344
0,3,37,0.8630634722379925
0,3,38,0.8679675910076458
0,3,39,0.8786586771145425
0,3,40,0.8718946765884373
0,3,41,0.8657580919931857
0,3,42,0.8736926790024135
0,3,43,0.8750143200824837
0,3,44,0.8697488584474886
0,3,45,0.8684903284880394
0,3,46,0.873150590664067
0,3,47,0.8735974353102817
0,3,48,0.8728542000457771
0,3,49,0.8712
0,3,50,0.8776712487004736
1,0,1,0.8681756141947224
1,0,2,0.8724594656314227
1,0,3,0.8703872437357631
1,0,4,0.8674877409054624
1,0,5,0.8713483789666628
1,0,6,0.8698528573058059
1,0,7,0.8751730502999538
1,0,8,0.8613951374687571
1,0,9,0.8717214522964151
1,0,10,0.8710857142857142
1,0,11,0.8757308265504987
1,0,12,0.8740374669578209
1,0,13,0.8699279917704881
1,0,14,0.8713550600343053
1,0,15,0.8660407602473094
1,0,16,0.8737953189536485
1,0,17,0.8733539448070538
1,0,18,0.8704296160877514
1,0,19,0.8736793752870923
1,0,20,0.8748712077847739
1,0,21,0.880161476355248
1,0,22,0.8730795689062142
1,0,23,0.8772172310527528
1,0,24,0.8713958810068649
1,0,25,0.8770576723840221
1,0,26,0.8711116193961573
1,0,27,0.8718506642235456
1,0,28,0.8822576914179968
1,0,29,0.8695652173913043
1,0,30,0.8718417743226249
1,0,31,0.8718800091596062
1,0,32,0.8772758700161327
1,0,33,0.864963503649635
1,0,34,0.8693760732684602
1,0,35,0.8718330849478391
1,0,36,0.874280451300944
1,0,37,0.8684721746086161
1,0,38,0.873810888252149
1,0,39,0.8700274348422496
1,0,40,0.8722623552344915
1,0,41,0.8698935805012015
1,0,42,0.8655595996360328
1,0,43,0.8796862383204522
1,0,44,0.8723574448634441
1,0,45,0.8764328289775333
1,0,46,0.8707974756167527
1,0,47,0.8739399495759799
1,0,48,0.8795944233206591
1,0,49,0.8686926605504587
1,0,50,0.8764536557282672
1,1,1,0.8510709880004486
1,1,2,0.8506261180679785
1,1,3,0.8548892369657641
1,1,4,0.8567731773177317
1,1,5,0.8557487380818845
1,1,6,0.8544574515983792
1,1,7,0.8518518518518519
1,1,8,0.8478067245602315
1,1,9,0.8562759860658501
1,1,10,0.8580746738641476
1,1,11,0.8512470640867912
1,1,12,0.8535927133700664
1,1,13,0.8640261791920559
1,1,14,0.8579654510556622
1,1,15,0.8530832303717848
1,1,16,0.853538185488393
1,1,17,0.8530071813285458
1,1,18,0.8538280461831633
1,1,19,0.8541970189398185
1,1,20,0.8601240834743373
1,1,21,0.8514917867918204
1,1,22,0.864619916166308
1,1,23,0.8583700689499265
1,1,24,0.850067084078712
1,1,25,0.8487712665406427
1,1,26,0.8498829822801739
1,1,27,0.849721293199554
1,1,28,0.8519843487982113
1,1,29,0.8553325109341707
1,1,30,0.8505978321600178
