p,q,r,snr,cnr,k,eta,Ji
0,0,1,4.085835204861971,3.0326538241173226,9,0.7559588209662004,0.9262204820751254
0,0,2,4.08752474594394,3.0334589324814645,7,0.7607630255997134,0.9244958189867192
0,1,1,3.5598719056805908,2.791602265883377,7,0.7618732990848093,0.9061337174408834
0,1,2,3.5613588181380096,2.7863361769158552,8,0.7582718766510381,0.9070466570466571
0,2,1,3.469135464906987,2.768712000353653,5,0.7678899628390586,0.904744787922358
0,2,2,3.462651047765508,2.7657071665670983,8,0.7573465442576102,0.9042553191489362
0,3,1,3.4582504646157823,2.763608628195725,7,0.76144449678659,0.8972018022290728
0,3,2,3.458811753538835,2.7643179788089096,8,0.753659642487651,0.90016718414139
1,0,1,3.4845664775229546,2.765244384707924,7,0.7571725763302058,0.8953516090584028
1,0,2,3.4860115830894522,2.7670824439397577,7,0.756714383963862,0.9018529587567244
1,1,1,2.7004819654295438,2.6252474353316693,7,0.7440874950594808,0.8817583450869769
1,1,2,2.6992209984986526,2.622318773048966,9,0.7406066454584329,0.8766385767790262
1,2,1,2.471607449557034,2.5620021118125686,9,0.7314969461429707,0.8762138762138763
1,2,2,2.4706040669135825,2.560260541257173,8,0.7316637556177207,0.8690017513134851
1,3,1,2.4303382145873287,2.5468237247028065,7,0.7364207078639121,0.8636205899363794
1,3,2,2.428391334454818,2.549527816662656,7,0.7360050154131784,0.8713368359603035
2,0,1,2.886084161147456,2.613675431065175,7,0.753927761596764,0.891566265060241
2,0,2,2.8886376520929176,2.6162718049904337,9,0.7439135769136422,0.8950506857483602
2,1,1,2.1317971205678945,2.4295145060561407,8,0.7257617204117753,0.8780228854547599
2,1,2,2.127889332633635,2.4370596513163796,8,0.7280235264480639,0.8769285125426922
2,2,1,1.8533963815673735,2.363014893472266,9,0.7077893210479731,0.8661112414926073
2,2,2,1.857370013154069,2.360342500893245,9,0.7097728898800604,0.8643333723516329
2,3,1,1.7916281013624484,2.337806735690833,7,0.7093879927999085,0.8594207996248094
2,3,2,1.7879631187679714,2.336414038553718,9,0.705628374179894,0.8666119192867199
3,0,1,2.528775281834232,2.499326743814276,7,0.7513122395946328,0.9020970641102457
3,0,2,2.531848539665161,2.494936905957801,7,0.7496295220584409,0.9022329511164756
3,1,1,1.8279125513722854,2.3134631518963635,8,0.7201079382494203,0.8860289716269604
3,1,2,1.8307526834298304,2.3148845426225275,7,0.7255081945211308,0.8826408787010506
3,2,1,1.574224042021625,2.2388705094634345,8,0.703779739658825,0.8780748663101604
3,2,2,1.5762280475096213,2.237382137205499,8,0.7028817322716794,0.8767188807844075
3,3,1,1.512930749484153,2.2120042089249776,7,0.7038039440074969,0.8733920914721296
3,3,2,1.5135146096783363,2.213043564567069,8,0.6995651206350769,0.8713283386847426
